instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Noise
11190,2012-04-16,2,1,4,10,1,1,0,1,0.62,0.6061,0.69,0.2537,75,149,224,0
14852,2011-01-01,5,2,3,33,0,8,2,4,1.19,0.51,0.65,0.38,330,603,902,1
461,2011-01-01,1,1,17,13,1,6,0,0,0.21,0.4,0.66,0.86,337,878,331,1
18698,2011-01-01,6,2,15,21,0,7,0,0,0.5,1.28,1.45,1.17,120,1246,758,1
14577,2011-01-01,0,2,12,5,1,8,2,0,0.28,0.77,0.97,0.08,459,638,1173,1
14162,2012-08-18,3,1,8,6,0,6,0,1,0.6,0.5606,0.83,0.2239,4,23,27,0
352,2011-01-16,1,0,1,3,0,0,0,1,0.22,0.2727,0.69,0,9,6,15,0
10196,2012-03-05,1,1,3,21,0,1,1,1,0.26,0.2273,0.37,0.3881,4,116,120,0
9606,2012-02-10,1,1,2,4,0,5,1,1,0.26,0.2879,0.56,0.0896,0,2,2,0
1341,2011-03-01,1,0,3,3,0,2,1,1,0.22,0.2121,0.69,0.2836,0,2,2,0
6704,2011-01-01,5,1,16,2,1,0,1,3,1.34,1.44,0.27,0.55,439,532,422,1
12069,2011-01-01,2,0,9,6,2,5,1,4,0.19,0.15,1.29,0.28,288,36,418,1
3374,2011-05-25,2,0,5,11,0,3,1,1,0.74,0.6667,0.51,0.0896,36,104,140,0
4514,2011-01-01,5,1,15,3,0,6,2,2,1.37,1.03,1.13,0.2,352,582,319,1
20752,2011-01-01,4,2,7,2,1,0,1,3,0.13,1.06,1.38,1.07,175,962,865,1
14215,2012-08-20,3,1,8,11,0,1,1,1,0.66,0.6212,0.65,0.1045,90,151,241,0
7087,2011-01-01,4,0,0,26,0,3,0,5,1.36,1.25,0.91,0.87,125,109,1101,1
16838,2012-12-09,4,1,12,8,0,0,0,3,0.4,0.4091,0.87,0.1642,1,68,69,0
4562,2011-01-01,3,2,14,17,0,4,2,3,0.34,1.06,1.45,0.3,302,805,1190,1
14004,2012-08-11,3,1,8,16,0,6,0,1,0.8,0.7273,0.46,0.2985,227,304,531,0
9278,2012-01-27,1,1,1,11,0,5,1,2,0.48,0.4697,0.94,0.1343,10,95,105,0
7820,2011-11-27,4,0,11,10,0,0,0,1,0.46,0.4545,0.72,0.2836,58,131,189,0
3561,2011-06-02,2,0,6,6,0,4,1,1,0.66,0.6212,0.39,0.1343,7,106,113,0
7795,2011-11-26,4,0,11,9,0,6,0,1,0.34,0.3485,0.76,0.0896,16,67,83,0
18783,2011-01-01,2,2,1,2,0,7,1,6,1.01,0.07,1.17,0.28,118,497,1012,1
7450,2011-01-01,2,2,2,4,2,6,2,0,0.36,0.54,0.18,0.17,17,1319,572,1
1241,2011-02-24,1,0,2,19,0,4,1,3,0.34,0.303,0.93,0.2985,3,112,115,0
851,2011-02-07,1,0,2,21,0,1,1,1,0.32,0.3485,0.7,0,3,75,78,0
12108,2012-05-24,2,1,5,16,0,4,1,1,0.74,0.6818,0.55,0.3582,61,329,390,0
5842,2011-09-05,3,0,9,20,1,1,0,3,0.66,0.5909,0.94,0.2537,26,56,82,0
15427,2012-10-09,4,1,10,23,0,2,1,2,0.48,0.4697,0.77,0.0896,8,76,84,0
17260,2012-12-27,1,1,12,0,0,4,1,3,0.26,0.2273,0.87,0.2985,0,3,3,0
7637,2011-11-19,4,0,11,19,0,6,0,2,0.34,0.3333,0.71,0.1343,33,149,182,0
2342,2011-04-12,2,0,4,11,0,2,1,1,0.52,0.5,0.77,0.3582,11,38,49,0
2025,2011-03-30,2,0,3,5,0,3,1,2,0.3,0.2879,0.56,0.194,0,7,7,0
6824,2011-01-01,5,2,2,17,2,6,1,1,0.85,0.86,0.5,1.2,273,343,1084,1
9633,2012-02-11,1,1,2,7,0,6,0,3,0.22,0.2273,0.93,0.1343,0,19,19,0
18887,2011-01-01,0,1,12,0,0,4,0,0,1.48,1.1,0.58,0.38,484,1299,1197,1
22008,2011-01-01,2,2,8,6,1,6,2,2,0.59,0.03,0.11,1.01,250,278,81,1
15334,2012-10-06,4,1,10,2,0,6,0,1,0.56,0.5303,0.78,0.194,13,62,75,0
22981,2011-01-01,0,0,0,23,0,6,0,0,1.36,0.33,0.97,0.27,8,1218,379,1
8231,2011-12-14,4,0,12,14,0,3,1,2,0.38,0.3939,0.54,0.0896,17,134,151,0
14705,2012-09-09,3,1,9,21,0,0,0,1,0.6,0.6212,0.46,0.2239,57,149,206,0
12430,2011-01-01,5,2,17,23,2,5,1,5,1.15,0.87,0.46,0.52,525,1042,151,1
7866,2011-11-29,4,0,11,9,0,2,1,3,0.56,0.5303,0.73,0.4179,5,197,202,0
