instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,Noise
17075,4,1,12,5,0.26,0.2879,0.75,0.0896,2,31,0
9794,1,1,3,15,1.03,0.62,0.95,0.74,149,336,1
1306,1,0,2,14,0.44,0.4394,0.47,0.0896,105,282,0
5997,1,0,9,9,0.93,0.23,0.43,0.8,244,729,1
17343,1,1,12,11,0.26,0.2273,0.41,0.4179,33,136,0
14830,3,1,9,2,0.58,0.5455,0.78,0.1045,18,93,0
6497,4,0,10,6,0.36,0.3788,0.71,0,3,94,0
14620,3,1,9,8,0.7,0.6667,0.79,0,24,646,0
13382,3,1,7,18,0.84,0.803,0.53,0,97,794,0
9359,1,1,1,20,0.3,0.303,0.39,0.1642,2,181,0
6628,2,2,6,17,0.8,0.9,0.93,0.36,143,736,1
13451,4,2,9,6,0.46,0.81,0.89,0.8,87,898,1
10209,0,2,8,9,0.2,0.75,0.4,0.6,361,173,1
12147,2,1,5,7,0.62,0.5606,0.88,0.1642,10,54,0
8334,4,0,12,21,0.22,0.2727,0.64,0,9,89,0
17700,1,2,0,11,0.36,0.54,0.0,0.21,342,892,1
15462,4,1,10,10,0.44,0.4394,0.41,0.3582,39,204,0
16540,4,1,11,21,0.34,0.3636,0.49,0,9,181,0
15056,4,1,9,12,0.56,0.5303,0.35,0.2985,77,342,0
16571,4,1,11,4,0.26,0.2576,0.7,0.194,0,4,0
2652,5,0,1,9,0.45,0.34,0.45,0.52,154,672,1
15464,0,1,5,12,0.35,0.04,0.63,0.02,101,536,1
7299,5,1,12,25,0.34,0.21,0.94,0.05,205,196,1
14191,3,0,10,18,0.93,0.21,0.86,0.71,275,341,1
12155,2,1,5,15,0.76,0.7273,0.66,0.2836,274,513,0
16086,5,0,10,21,0.29,0.67,0.07,0.48,289,644,1
8321,4,0,12,8,0.2,0.2576,0.69,0,1,32,0
5952,1,0,5,9,0.36,0.5,0.82,0.06,153,566,1
13358,3,1,7,18,0.72,0.697,0.79,0.3582,84,312,0
4491,5,2,3,4,0.45,0.71,0.19,0.44,210,211,1
14746,3,1,9,14,0.68,0.6212,0.3,0.0896,74,255,0
14883,4,1,10,2,0.44,1.04,1.0,0.23,71,241,1
7707,3,2,1,0,0.07,0.35,0.41,0.57,313,344,1
1414,1,0,3,4,0.18,0.1818,0.74,0.194,1,1,0
16900,4,1,12,22,0.3,0.2879,0.56,0.2239,6,106,0
16821,4,1,12,15,0.42,0.4242,0.82,0.1642,167,541,0
3523,0,2,7,10,0.57,0.1,0.51,0.47,201,814,1
13060,3,1,7,8,0.74,0.6818,0.62,0.0896,42,646,0
16181,0,1,12,13,0.4,0.06,0.15,0.89,61,46,1
15653,4,1,2,0,0.55,0.15,0.59,0.76,10,629,1
14511,1,2,11,16,0.23,0.98,0.26,0.3,362,138,1
11015,2,1,4,2,0.46,0.4545,0.31,0.194,2,6,0
10498,1,1,3,12,0.44,0.4394,0.88,0.1343,222,503,0
11885,3,1,0,23,0.77,0.36,0.68,0.19,212,992,1
9142,1,1,1,19,0.18,0.1515,0.8,0.3881,0,85,0
11517,4,0,3,22,1.03,0.48,0.68,0.8,202,955,1
9993,1,1,2,9,0.22,0.2121,0.47,0.2239,11,87,0
16833,2,2,13,19,0.75,0.69,0.3,0.44,360,752,1
12827,1,1,6,15,0.13,0.37,0.18,0.28,148,121,1
8739,1,1,1,22,0.2,0.2273,0.47,0.0896,4,52,0
14023,3,1,8,11,0.74,0.6667,0.42,0.1642,167,449,0
12192,3,1,3,14,0.49,0.66,0.55,0.45,314,149,1
700,1,0,2,12,0.2,0.2576,0.86,0,2,55,0
16122,3,1,10,22,0.41,0.79,0.38,0.1,126,431,1
7612,3,2,3,6,0.37,0.79,0.51,0.18,182,77,1
16954,4,2,12,20,0.24,0.86,0.74,0.13,246,279,1
13933,3,1,5,0,0.8,0.28,0.83,0.3,100,507,1
15900,4,1,10,4,0.3,0.2879,0.87,0.194,0,5,0
4330,2,0,7,21,0.04,0.88,0.06,0.29,38,487,1
4418,4,2,3,6,0.66,0.87,0.28,0.24,256,410,1
17108,4,1,12,14,0.36,0.3485,0.53,0.194,43,214,0
783,2,0,1,16,0.85,0.2,0.3,0.22,382,579,1
15144,4,1,9,4,0.56,0.5303,0.88,0.1045,2,12,0
9369,1,1,1,6,0.28,0.2727,0.52,0.1642,0,104,0
12873,3,1,6,13,0.72,0.6667,0.51,0.2985,79,260,0
10489,1,1,1,3,0.4,0.16,0.23,0.0,130,642,1
13101,3,1,7,1,0.74,0.6667,0.51,0.2836,6,30,0
4312,3,1,11,2,0.92,0.19,1.04,0.64,289,613,1
15823,2,1,2,9,0.33,0.58,0.84,0.16,108,50,1
16445,2,2,5,25,0.28,0.83,0.31,0.33,219,151,1
1331,4,1,1,11,0.05,0.23,1.01,0.41,209,79,1
10035,2,1,8,17,0.45,0.48,1.0,0.12,224,1023,1
8040,3,0,8,24,0.93,0.25,0.9,0.39,207,101,1
17519,2,0,3,25,0.64,0.96,0.27,0.67,120,276,1
5643,3,0,8,13,0.76,0.6818,0.45,0.3582,129,431,0
10072,5,2,9,7,0.72,0.88,0.29,0.73,166,944,1
7324,5,1,9,24,0.75,0.64,0.97,0.89,80,542,1
8760,0,2,10,19,0.27,0.96,1.03,0.66,233,938,1
5512,3,0,8,13,0.74,0.6515,0.3,0.4627,47,205,0
4719,3,0,7,12,0.82,0.803,0.59,0,28,149,0
