instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,18
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,33
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,37
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,41
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,95
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,57
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,96
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,21
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,72
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,49
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,60
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,84
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,21
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,14
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,51
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,14
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,19
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,20
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,24
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,12
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,67
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,14
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,77
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,7
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,83
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,67
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,51
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,83
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,3
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,55
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,82
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,57
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,43
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,12
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,44
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,81
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,68
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,12
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,98
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,3
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,88
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,42
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,89
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,44
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,12
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,52
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,55
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,47
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,33
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,27
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,95
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,34
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,30
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,51
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,6
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,44
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,17
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,45
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,90
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,87
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,6
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,24
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,35
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,20
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,26
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,98
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,90
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,72
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,25
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,57
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,38
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,26
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,69
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,49
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,56
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,58
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,36
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,95
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,93
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,16
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,86
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,78
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,87
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,97
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,49
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,75
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,28
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,25
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,31
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,94
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,43
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,6
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,82
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,24
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,100
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,22
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,53
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,36
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,56
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,21
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,14
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,19
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,61
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,19
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,28
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,55
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,89
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,14
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,3
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,55
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,91
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,0
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,38
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,25
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,30
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,66
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,76
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,77
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,70
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,86
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,12
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,43
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,49
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,72
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,45
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,54
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,5
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,14
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,2
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,65
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,58
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,60
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,9
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,32
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,21
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,54
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,20
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,85
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,18
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,43
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,20
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,39
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,68
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,77
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,43
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,6
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,96
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,41
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,32
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,65
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,8
152,1,0,1,14,0.2,0.197,0.4,0.2537,7,50,27
153,1,0,1,15,0.2,0.2121,0.37,0.1642,9,72,81
154,1,0,1,16,0.2,0.2121,0.37,0.1642,5,87,90
155,1,0,1,17,0.2,0.2576,0.37,0,9,187,23
156,1,0,1,18,0.2,0.2273,0.4,0.0896,7,123,47
157,1,0,1,19,0.16,0.197,0.55,0.0896,3,95,74
158,1,0,1,20,0.18,0.2121,0.47,0.1045,1,51,67
159,1,0,1,21,0.18,0.197,0.47,0.1343,0,39,47
160,1,0,1,22,0.18,0.197,0.43,0.1642,2,36,84
161,1,0,1,23,0.18,0.197,0.51,0.1642,1,15,62
162,1,0,1,0,0.18,0.197,0.51,0.1642,1,25,9
163,1,0,1,1,0.18,0.2121,0.55,0.0896,1,16,48
164,1,0,1,2,0.18,0.2424,0.55,0,3,16,53
165,1,0,1,3,0.18,0.197,0.55,0.1642,0,7,22
166,1,0,1,4,0.18,0.197,0.55,0.1642,0,1,19
167,1,0,1,5,0.16,0.1667,0.74,0.1642,0,5,8
168,1,0,1,6,0.16,0.1667,0.74,0.1642,0,2,17
169,1,0,1,7,0.16,0.1818,0.74,0.1045,1,9,51
170,1,0,1,8,0.16,0.1818,0.93,0.1045,0,15,94
171,1,0,1,9,0.16,0.1818,0.93,0.1045,0,20,66
172,1,0,1,10,0.18,0.197,0.8,0.1642,5,61,80
173,1,0,1,11,0.2,0.1818,0.69,0.3881,2,62,23
174,1,0,1,12,0.2,0.1818,0.59,0.3582,8,98,15
175,1,0,1,13,0.2,0.1818,0.44,0.3284,7,102,73
176,1,0,1,14,0.2,0.1667,0.32,0.4925,12,95,24
177,1,0,1,15,0.2,0.1667,0.32,0.4478,5,74,28
178,1,0,1,16,0.18,0.1364,0.29,0.4478,8,76,21
179,1,0,1,17,0.16,0.1212,0.37,0.5522,5,69,2
180,1,0,1,18,0.14,0.1212,0.39,0.2985,3,55,54
181,1,0,1,19,0.14,0.1212,0.36,0.2537,4,30,83
182,1,0,1,20,0.12,0.1212,0.36,0.2537,0,28,50
183,1,0,1,21,0.12,0.1061,0.39,0.3582,2,37,65
184,1,0,1,22,0.12,0.1061,0.36,0.3881,1,34,47
185,1,0,1,23,0.1,0.0606,0.39,0.4478,0,22,76
186,1,0,1,0,0.1,0.0758,0.42,0.3881,1,25,9
187,1,0,1,1,0.1,0.0606,0.42,0.4627,0,12,2
188,1,0,1,2,0.1,0.0606,0.46,0.4627,0,11,44
189,1,0,1,3,0.1,0.0758,0.46,0.4179,0,4,29
190,1,0,1,4,0.08,0.0909,0.53,0.194,0,1,70
191,1,0,1,5,0.08,0.0909,0.53,0.194,0,1,87
192,1,0,1,6,0.1,0.0909,0.49,0.2836,0,1,75
193,1,0,1,7,0.08,0.0909,0.53,0.194,1,6,55
194,1,0,1,8,0.1,0.0909,0.49,0.2836,0,10,98
195,1,0,1,9,0.12,0.0758,0.46,0.5224,0,19,44
196,1,0,1,10,0.14,0.1061,0.43,0.3881,0,49,17
197,1,0,1,11,0.16,0.1212,0.4,0.5224,2,49,74
198,1,0,1,12,0.18,0.1364,0.37,0.4478,4,83,83
199,1,0,1,13,0.2,0.1667,0.34,0.4478,6,75,67
200,1,0,1,14,0.22,0.1818,0.32,0.4627,8,72,34
201,1,0,1,15,0.22,0.197,0.35,0.3582,5,82,24
202,1,0,1,16,0.2,0.1667,0.34,0.4478,13,92,2
203,1,0,1,17,0.18,0.1515,0.37,0.3881,3,62,96
204,1,0,1,18,0.16,0.1364,0.4,0.3284,4,48,0
205,1,0,1,19,0.16,0.1364,0.43,0.3284,1,41,40
206,1,0,1,20,0.14,0.1212,0.46,0.2537,0,38,94
207,1,0,1,21,0.14,0.1061,0.46,0.4179,1,20,39
208,1,0,1,22,0.14,0.1212,0.46,0.2985,5,15,66
209,1,0,1,23,0.12,0.1364,0.5,0.194,0,6,93
210,1,0,1,0,0.12,0.1212,0.5,0.2836,2,5,97
211,1,0,1,1,0.12,0.1212,0.5,0.2836,1,1,64
212,1,0,1,2,0.12,0.1212,0.5,0.2239,0,3,40
213,1,0,1,3,0.12,0.1212,0.5,0.2239,0,1,60
214,1,0,1,4,0.1,0.1212,0.54,0.1343,1,3,98
215,1,0,1,5,0.1,0.1061,0.54,0.2537,0,3,45
216,1,0,1,6,0.12,0.1212,0.5,0.2836,0,31,48
217,1,0,1,7,0.12,0.1212,0.5,0.2239,2,77,50
218,1,0,1,8,0.12,0.1212,0.5,0.2836,4,188,46
219,1,0,1,9,0.14,0.1212,0.5,0.2537,2,94,16
220,1,0,1,10,0.14,0.1212,0.5,0.2985,0,31,76
221,1,0,1,11,0.16,0.1364,0.47,0.2836,2,30,10
222,1,0,1,12,0.2,0.1818,0.4,0.2836,5,52,49
223,1,0,1,13,0.2,0.1818,0.4,0.2836,4,54,99
224,1,0,1,14,0.2,0.197,0.4,0.2239,0,47,33
225,1,0,1,15,0.2,0.197,0.4,0.2239,2,45,69
226,1,0,1,16,0.2,0.2121,0.4,0.1343,4,74,89
227,1,0,1,17,0.2,0.2273,0.4,0.1045,4,178,14
228,1,0,1,18,0.2,0.197,0.4,0.2239,1,155,57
229,1,0,1,19,0.16,0.1667,0.47,0.1642,3,95,3
230,1,0,1,20,0.16,0.1667,0.5,0.1642,1,74,66
231,1,0,1,21,0.14,0.1364,0.59,0.194,1,38,15
232,1,0,1,22,0.14,0.1515,0.59,0.1642,2,24,48
233,1,0,1,23,0.14,0.1515,0.59,0.1642,0,18,33
234,1,0,1,0,0.14,0.1667,0.59,0.1045,2,12,87
235,1,0,1,1,0.14,0.1515,0.59,0.1642,0,3,49
236,1,0,1,2,0.16,0.1515,0.55,0.194,0,3,14
237,1,0,1,5,0.16,0.1818,0.55,0.1343,0,6,12
238,1,0,1,6,0.16,0.1818,0.55,0.1343,0,27,84
239,1,0,1,7,0.16,0.2273,0.55,0,2,99,44
240,1,0,1,8,0.18,0.2121,0.51,0.0896,3,217,18
