instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1,feature2
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,87,572
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,91,555
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,32,965
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,4,845
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,94,806
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,11,806
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,1,911
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,18,946
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,58,676
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,93,774
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,53,571
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,100,815
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,8,988
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,98,894
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,63,908
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,75,851
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,55,708
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,11,516
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,3,559
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,33,759
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,84,656
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,69,940
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,29,624
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,9,967
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,38,683
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,46,946
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,37,885
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,62,846
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,26,836
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,31,966
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,21,756
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,79,558
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,78,688
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,81,724
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,41,535
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,69,636
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,91,539
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,35,776
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,65,971
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,98,905
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,99,732
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,22,599
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,83,845
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,82,952
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,98,989
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,43,672
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,73,602
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,97,719
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,35,906
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,24,725
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,65,825
