instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1,feature2,feature3
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,46,618,51
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,97,973,41
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,25,775,143
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,84,822,242
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,12,943,24
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,53,801,122
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,21,522,3
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,15,827,186
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,100,592,127
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,84,558,229
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,100,833,89
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,89,537,210
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,85,816,25
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,41,602,195
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,83,977,71
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,65,630,72
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,91,821,226
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,60,594,250
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,65,673,85
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,31,920,16
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,69,672,109
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,56,594,142
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,50,557,39
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,56,680,31
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,15,806,175
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,16,619,78
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,67,835,175
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,80,526,31
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,93,891,228
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,17,948,72
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,82,961,49
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,20,953,196
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,69,676,48
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,2,533,111
