instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1,feature2,feature3,feature4
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,87,760,88,659
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,66,921,104,627
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,14,712,18,531
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,34,514,178,670
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,32,799,135,579
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,40,832,210,616
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,65,967,9,725
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,44,999,83,704
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,37,690,161,698
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,69,752,128,502
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,24,524,49,729
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,79,589,117,509
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,1,732,104,688
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,78,587,29,574
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,77,814,171,736
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,23,603,65,675
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,95,520,69,601
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,49,684,162,703
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,94,861,114,630
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,74,570,108,725
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,81,528,84,579
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,43,530,233,726
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,51,510,182,552
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,12,923,239,734
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,49,672,69,583
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,31,574,156,552
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,48,950,209,654
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,65,939,172,687
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,99,816,191,607
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,32,660,148,562
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,36,557,22,737
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,16,993,0,508
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,57,907,99,633
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,24,783,155,745
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,72,523,54,539
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,96,751,245,583
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,88,579,159,677
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,93,880,7,651
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,48,639,77,575
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,69,658,140,650
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,11,817,169,621
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,5,508,194,514
