instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature1,feature2,feature3,feature4,feature5
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,16,559,89,581,94
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,84,772,188,535,19
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,13,833,2,692,33
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,88,891,71,622,31
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,84,955,90,570,163
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,9,772,66,525,314
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,0,582,41,565,279
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,87,563,63,539,108
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,45,632,82,594,257
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,75,564,128,598,78
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,53,925,192,692,92
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,65,714,122,660,274
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,42,985,102,536,294
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,59,972,178,580,325
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,35,691,170,732,277
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,92,566,35,662,237
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,34,903,54,712,384
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,94,657,18,606,89
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,44,592,44,703,301
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,54,798,183,508,325
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,72,754,107,532,375
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,74,578,103,706,349
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,68,573,248,640,446
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,47,920,248,559,286
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,58,861,92,638,152
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,7,764,102,612,280
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,44,620,131,534,237
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,7,635,244,732,242
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,29,520,246,632,18
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,63,881,86,619,57
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,44,571,239,637,28
