instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_1
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,41
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,55
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,98
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,88
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,0
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,41
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,11
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,2
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,24
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,94
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,72
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,43
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,39
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,12
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,84
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,47
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,78
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,37
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,6
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,12
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,58
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,42
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,46
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,7
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,87
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,50
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,19
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,66
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,96
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,26
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,79
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,28
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,5
34,1,0,1,10,0.36,0.3485,0.81,0.2239,7,53,53
35,1,0,1,11,0.36,0.3333,0.71,0.2537,16,70,67
36,1,0,1,12,0.36,0.3333,0.66,0.2985,20,93,61
37,1,0,1,13,0.36,0.3485,0.66,0.1343,11,75,71
38,1,0,1,14,0.36,0.3485,0.76,0.194,4,59,47
39,1,0,1,15,0.34,0.3333,0.81,0.1642,19,74,86
40,1,0,1,16,0.34,0.3333,0.71,0.1642,9,76,70
41,1,0,1,17,0.34,0.3333,0.57,0.194,7,65,12
42,1,0,1,18,0.36,0.3333,0.46,0.3284,10,53,81
43,1,0,1,19,0.32,0.2879,0.42,0.4478,1,30,8
44,1,0,1,20,0.3,0.2727,0.39,0.3582,5,22,63
45,1,0,1,21,0.26,0.2273,0.44,0.3284,11,31,5
46,1,0,1,22,0.24,0.2121,0.44,0.2985,0,9,61
47,1,0,1,23,0.22,0.2273,0.47,0.1642,0,8,19
48,1,0,1,0,0.22,0.197,0.44,0.3582,0,5,89
49,1,0,1,1,0.2,0.1667,0.44,0.4179,0,2,52
50,1,0,1,4,0.16,0.1364,0.47,0.3881,0,1,0
51,1,0,1,5,0.16,0.1364,0.47,0.2836,0,3,33
52,1,0,1,6,0.14,0.1061,0.5,0.3881,0,30,17
53,1,0,1,7,0.14,0.1364,0.5,0.194,1,64,47
54,1,0,1,8,0.14,0.1212,0.5,0.2836,1,154,16
55,1,0,1,9,0.16,0.1364,0.43,0.3881,7,88,91
56,1,0,1,10,0.18,0.1667,0.43,0.2537,11,44,1
57,1,0,1,11,0.2,0.1818,0.4,0.3284,10,51,69
58,1,0,1,12,0.22,0.2121,0.35,0.2985,13,61,38
59,1,0,1,13,0.24,0.2121,0.35,0.2836,8,61,57
60,1,0,1,14,0.26,0.2424,0.3,0.2836,11,77,63
61,1,0,1,15,0.26,0.2424,0.3,0.2537,14,72,37
62,1,0,1,16,0.26,0.2424,0.3,0.2537,9,76,58
63,1,0,1,17,0.24,0.2273,0.3,0.2239,11,157,58
64,1,0,1,18,0.24,0.2576,0.32,0.1045,9,157,73
65,1,0,1,19,0.2,0.2576,0.47,0,8,110,71
66,1,0,1,20,0.2,0.2273,0.47,0.1045,3,52,5
67,1,0,1,21,0.18,0.197,0.64,0.1343,3,52,66
68,1,0,1,22,0.14,0.1515,0.69,0.1343,0,20,23
69,1,0,1,23,0.18,0.2121,0.55,0.1045,1,12,58
70,1,0,1,0,0.16,0.1818,0.55,0.1045,0,5,31
71,1,0,1,1,0.16,0.1818,0.59,0.1045,0,2,40
72,1,0,1,2,0.14,0.1515,0.63,0.1343,0,1,22
73,1,0,1,4,0.14,0.1818,0.63,0.0896,0,2,17
74,1,0,1,5,0.12,0.1515,0.68,0.1045,0,4,47
75,1,0,1,6,0.12,0.1515,0.74,0.1045,0,36,61
76,1,0,1,7,0.12,0.1515,0.74,0.1343,2,94,44
77,1,0,1,8,0.14,0.1515,0.69,0.1642,2,179,51
78,1,0,1,9,0.16,0.1515,0.64,0.2239,2,100,51
79,1,0,1,10,0.16,0.1364,0.69,0.3284,5,42,4
80,1,0,1,11,0.22,0.2121,0.51,0.2985,7,57,81
81,1,0,1,12,0.22,0.2273,0.51,0.1642,12,78,82
82,1,0,1,13,0.24,0.2273,0.56,0.194,18,97,75
83,1,0,1,14,0.26,0.2576,0.52,0.2239,9,63,70
84,1,0,1,15,0.28,0.2727,0.52,0.2537,17,65,95
85,1,0,1,16,0.3,0.2879,0.49,0.2537,15,83,9
86,1,0,1,17,0.28,0.2727,0.48,0.2239,10,212,52
87,1,0,1,18,0.26,0.2576,0.48,0.194,3,182,16
88,1,0,1,19,0.24,0.2576,0.48,0.1045,2,112,41
89,1,0,1,20,0.24,0.2576,0.48,0.1045,1,54,96
90,1,0,1,21,0.22,0.2727,0.64,0,0,48,42
91,1,0,1,22,0.22,0.2576,0.64,0.0896,1,35,28
92,1,0,1,23,0.2,0.2273,0.69,0.0896,2,11,24
93,1,0,1,0,0.2,0.2576,0.64,0,0,6,52
94,1,0,1,1,0.16,0.197,0.74,0.0896,0,6,61
95,1,0,1,2,0.16,0.197,0.74,0.0896,0,2,6
96,1,0,1,4,0.24,0.2273,0.48,0.2239,0,2,57
97,1,0,1,5,0.22,0.2273,0.47,0.1642,0,3,14
98,1,0,1,6,0.2,0.197,0.47,0.2239,0,33,36
99,1,0,1,7,0.18,0.1818,0.43,0.194,1,88,71
100,1,0,1,8,0.2,0.1818,0.4,0.2985,3,195,63
101,1,0,1,9,0.22,0.197,0.37,0.3284,6,115,69
102,1,0,1,10,0.22,0.197,0.37,0.3284,4,57,2
103,1,0,1,11,0.26,0.2273,0.33,0.3284,12,46,60
104,1,0,1,12,0.26,0.2273,0.33,0.3284,5,79,94
105,1,0,1,13,0.28,0.2576,0.3,0.2985,6,71,0
106,1,0,1,14,0.3,0.2879,0.28,0.194,10,62,63
107,1,0,1,15,0.3,0.2879,0.28,0.194,7,62,100
108,1,0,1,16,0.3,0.3182,0.28,0.0896,4,89,27
109,1,0,1,17,0.24,0.2273,0.38,0.194,4,190,25
110,1,0,1,18,0.24,0.2424,0.38,0.1343,3,169,51
111,1,0,1,19,0.24,0.2576,0.38,0.1045,5,132,88
112,1,0,1,20,0.22,0.2273,0.47,0.1642,7,89,47
113,1,0,1,21,0.2,0.197,0.51,0.194,3,43,6
114,1,0,1,22,0.18,0.197,0.55,0.1343,1,42,69
115,1,0,1,23,0.2,0.2576,0.47,0,1,19,73
116,1,0,1,0,0.18,0.2424,0.55,0,0,11,17
117,1,0,1,1,0.16,0.2273,0.64,0,0,4,12
118,1,0,1,2,0.16,0.2273,0.64,0,0,2,66
119,1,0,1,4,0.16,0.197,0.64,0.0896,0,1,95
120,1,0,1,5,0.14,0.1818,0.69,0.0896,0,4,7
121,1,0,1,6,0.14,0.1667,0.63,0.1045,0,36,0
122,1,0,1,7,0.16,0.2273,0.59,0,0,95,37
123,1,0,1,8,0.16,0.2273,0.59,0,3,219,10
124,1,0,1,9,0.18,0.2424,0.51,0,6,122,77
125,1,0,1,10,0.2,0.2576,0.47,0,3,45,88
126,1,0,1,11,0.22,0.2576,0.44,0.0896,2,59,77
127,1,0,1,12,0.26,0.2879,0.35,0,6,84,99
128,1,0,1,13,0.26,0.2727,0.35,0.1045,12,67,20
129,1,0,1,14,0.28,0.2727,0.36,0.1642,11,70,99
130,1,0,1,15,0.28,0.2727,0.36,0,8,62,10
131,1,0,1,16,0.26,0.2576,0.38,0.1642,12,86,97
132,1,0,1,17,0.22,0.2273,0.51,0.1642,9,172,20
133,1,0,1,18,0.22,0.2273,0.51,0.1343,5,163,90
134,1,0,1,19,0.22,0.2576,0.55,0.0896,3,112,32
135,1,0,1,20,0.2,0.2121,0.51,0.1642,3,69,52
136,1,0,1,21,0.22,0.2121,0.55,0.2239,0,48,59
137,1,0,1,22,0.22,0.2121,0.51,0.2836,1,52,61
138,1,0,1,23,0.2,0.197,0.59,0.194,4,23,96
139,1,0,1,0,0.2,0.197,0.64,0.194,4,17,46
140,1,0,1,1,0.2,0.197,0.69,0.2239,2,7,56
141,1,0,1,2,0.2,0.197,0.69,0.2239,0,1,36
142,1,0,1,4,0.2,0.2121,0.69,0.1343,0,1,82
143,1,0,1,5,0.22,0.2727,0.55,0,0,5,80
144,1,0,1,6,0.2,0.2576,0.69,0,8,34,22
145,1,0,1,7,0.2,0.2121,0.69,0.1343,8,84,10
146,1,0,1,8,0.2,0.197,0.51,0.2537,20,210,88
147,1,0,1,9,0.2,0.1818,0.47,0.2985,9,134,73
148,1,0,1,10,0.22,0.197,0.37,0.3284,16,63,7
149,1,0,1,11,0.2,0.197,0.4,0.2239,19,67,83
150,1,0,1,12,0.2,0.197,0.37,0.2537,9,59,19
151,1,0,1,13,0.2,0.1818,0.37,0.2836,9,73,30
