instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_2,feature_y_2
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,72,4096.0
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,75,64000.0
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,84,32768.0
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,8,2197.0
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,94,1.0
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,99,1.0
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,91,8.0
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,25,27.0
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,47,512.0
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,28,2744.0
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,14,46656.0
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,21,175616.0
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,71,592704.0
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,58,830584.0
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,38,1191016.0
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,27,1331000.0
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,100,804357.0
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,65,300763.0
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,4,42875.0
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,100,50653.0
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,9,46656.0
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,17,39304.0
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,62,21952.0
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,50,59319.0
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,49,4913.0
26,1,0,1,1,0.44,0.4394,0.94,0.2537,1,17,0,4913.0
27,1,0,1,2,0.42,0.4242,1,0.2836,1,9,27,729.0
28,1,0,1,3,0.46,0.4545,0.94,0.194,2,6,25,216.0
29,1,0,1,4,0.46,0.4545,0.94,0.194,2,3,71,27.0
30,1,0,1,6,0.42,0.4242,0.77,0.2985,0,2,26,8.0
31,1,0,1,7,0.4,0.4091,0.76,0.194,0,1,6,1.0
32,1,0,1,8,0.4,0.4091,0.71,0.2239,0,8,50,512.0
33,1,0,1,9,0.38,0.3939,0.76,0.2239,1,20,97,8000.0
