instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_3,feature_y_3,feature_y_3
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,99,4096.0,1260.7704250424647
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,5,64000.0,24.34527915938213
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,24,32768.0,10.590792759495987
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,52,2197.0,0.503365605112174
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,9,1.0,0.7081558739235672
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,47,1.0,0.8900177298266997
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,44,8.0,0.9826059824898337
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,53,27.0,0.7163707881255232
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,74,512.0,67.32311401195065
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,84,2744.0,0.5769706814181332
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,22,46656.0,1.0089303546212294
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,24,175616.0,10.590792759495987
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,62,592704.0,3.8340720458680737
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,20,830584.0,0.5227541141700891
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,28,1191016.0,0.7868403851802712
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,44,1331000.0,0.9826059824898337
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,22,804357.0,1.0089303546212294
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,26,300763.0,0.5673570710394846
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,54,42875.0,2.266489527055483
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,46,50653.0,0.5258208681509198
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,85,46656.0,1.213703616753761
