instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_4,feature_y_4,feature_y_4,feature_y_4
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,9,4096.0,0.7081558739235672,0.803990613485849
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,24,64000.0,10.590792759495987,0.8650536966106134
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,75,32768.0,1.633404121532299,0.37293782932771496
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,60,2197.0,1.4384569591461411,0.5176150567422252
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,47,1.0,0.8900177298266997,0.5403023058681398
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,69,1.0,1.129668825806919,0.5403023058681398
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,49,8.0,21.622861843277043,0.14550003380861354
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,62,27.0,3.8340720458680737,0.2921388087338362
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,55,512.0,4084.5228050458813,0.996833390848202
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,55,2744.0,4084.5228050458813,0.18019324711435455
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,34,46656.0,0.6539868700870936,0.9785486907389197
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,72,175616.0,0.7975605094780727,0.5647514096712039
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,38,592704.0,0.7713855584154635,0.13399521291272173
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,54,830584.0,2.266489527055483,0.9524963446376412
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,36,1191016.0,121.63753475026189,0.8648663418760141
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,100,1331000.0,2.025790915867646,0.12997395763495997
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,30,804357.0,83.55352537043731,0.7806682917959753
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,74,300763.0,67.32311401195065,0.8706451185026877
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,1,42875.0,0.5430441251857795,0.11401167733032609
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,97,50653.0,0.7248437158702044,0.4521284271007949
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,45,46656.0,0.5402766739296717,0.9785486907389197
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,29,39304.0,2.9729510585814833,0.8935123623661174
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,45,21952.0,0.5402766739296717,0.1210355554669203
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,11,59319.0,102109.07002447755,0.8512229700846954
25,1,0,1,0,0.46,0.4545,0.88,0.2985,4,17,12,4913.0,2.15783677484981,0.9000508174929343
