instant,season,yr,mnth,hr,temp,atemp,hum,windspeed,casual,cnt,feature_y_5,feature_y_5,feature_y_5,feature_y_5,feature_y_5
1,1,0,1,0,0.24,0.2879,0.81,0,3,16,70,4096.0,0.5637325966004665,0.803990613485849,281
2,1,0,1,1,0.22,0.2727,0.8,0,8,40,54,64000.0,2.266489527055483,0.8650536966106134,125
3,1,0,1,2,0.22,0.2727,0.8,0,5,32,56,32768.0,2.09008693583188,0.37293782932771496,160
4,1,0,1,3,0.24,0.2879,0.75,0,3,13,66,2197.0,1.0272753459349424,0.5176150567422252,256
5,1,0,1,4,0.24,0.2879,0.75,0,0,1,97,1.0,0.7248437158702044,0.5403023058681398,469
6,1,0,1,5,0.24,0.2576,0.75,0.0896,0,1,47,1.0,0.8900177298266997,0.5403023058681398,6
7,1,0,1,6,0.22,0.2727,0.8,0,2,2,61,8.0,29.513995986914356,0.14550003380861354,131
8,1,0,1,7,0.2,0.2576,0.86,0,1,3,10,27.0,2.193083986739962,0.2921388087338362,482
9,1,0,1,8,0.24,0.2879,0.75,0,1,8,21,512.0,0.5444678790179037,0.996833390848202,234
10,1,0,1,9,0.32,0.3485,0.76,0,8,14,42,2744.0,11.979139227322584,0.18019324711435455,443
11,1,0,1,10,0.38,0.3939,0.76,0.2537,12,36,47,46656.0,0.8900177298266997,0.9785486907389197,45
12,1,0,1,11,0.36,0.3333,0.81,0.2836,26,56,87,175616.0,5.612234025512922,0.5647514096712039,250
13,1,0,1,12,0.42,0.4242,0.77,0.2836,29,84,13,592704.0,0.7041425227235925,0.13399521291272173,76
14,1,0,1,13,0.46,0.4545,0.72,0.2985,47,94,4,830584.0,4.111884294479769,0.9524963446376412,143
15,1,0,1,14,0.46,0.4545,0.72,0.2836,35,106,8,1191016.0,0.5026746699330502,0.8648663418760141,347
16,1,0,1,15,0.44,0.4394,0.77,0.2985,40,110,77,1331000.0,0.5001199891426975,0.12997395763495997,32
17,1,0,1,16,0.42,0.4242,0.82,0.2985,41,93,69,804357.0,1.129668825806919,0.7806682917959753,491
18,1,0,1,17,0.44,0.4394,0.82,0.2836,15,67,41,300763.0,1.1885273858987428,0.8706451185026877,431
19,1,0,1,18,0.42,0.4242,0.88,0.2537,9,35,54,42875.0,2.266489527055483,0.11401167733032609,249
20,1,0,1,19,0.42,0.4242,0.88,0.2537,6,37,75,50653.0,1.633404121532299,0.4521284271007949,92
21,1,0,1,20,0.4,0.4091,0.87,0.2537,11,36,49,46656.0,21.622861843277043,0.9785486907389197,452
22,1,0,1,21,0.4,0.4091,0.87,0.194,3,34,86,39304.0,13.064798934155936,0.8935123623661174,473
23,1,0,1,22,0.4,0.4091,0.94,0.2239,11,28,22,21952.0,1.0089303546212294,0.1210355554669203,97
24,1,0,1,23,0.46,0.4545,0.88,0.2985,15,39,5,59319.0,24.34527915938213,0.8512229700846954,84
