instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,feature0,feature1,feature2,feature3
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16,0.03125,0.5403023058681398,0.8414709848078965,0.0
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40,0.0625,0.4161468365471424,0.9092974268256817,0.6931471805599453
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32,0.09375,0.9899924966004454,0.1411200080598672,1.0986122886681098
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10,13,0.125,0.6536436208636119,0.7568024953079282,1.3862943611198906
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1,0.15625,0.28366218546322625,0.9589242746631385,1.6094379124341003
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,0.1875,0.960170286650366,0.27941549819892586,1.791759469228055
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2,0.21875,0.7539022543433046,0.6569865987187891,1.9459101490553132
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2,3,0.25,0.14550003380861354,0.9893582466233818,2.0794415416798357
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8,0.28125,0.9111302618846769,0.4121184852417566,2.1972245773362196
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14,0.3125,0.8390715290764524,0.5440211108893698,2.302585092994046
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,0.34375,0.004425697988050785,0.9999902065507035,2.3978952727983707
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,0.375,0.8438539587324921,0.5365729180004349,2.4849066497880004
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,0.40625,0.9074467814501962,0.4201670368266409,2.5649493574615367
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,0.4375,0.1367372182078336,0.9906073556948704,2.6390573296152584
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,0.46875,0.7596879128588213,0.6502878401571168,2.70805020110221
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,0.5,0.9576594803233847,0.2879033166650653,2.772588722239781
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,0.53125,0.27516333805159693,0.9613974918795568,2.833213344056216
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,0.5625,0.6603167082440802,0.7509872467716762,2.8903717578961645
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,0.59375,0.9887046181866692,0.14987720966295234,2.9444389791664403
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,0.625,0.40808206181339196,0.9129452507276277,2.995732273553991
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,0.65625,0.5477292602242684,0.8366556385360561,3.044522437723423
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,0.6875,0.9999608263946371,0.008851309290403876,3.091042453358316
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,0.71875,0.5328330203333975,0.8462204041751706,3.1354942159291497
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,0.75,0.424179007336997,0.9055783620066238,3.1780538303479458
