instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,feature0,feature1,feature2,feature3,feature4
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16,0.03125,0.5403023058681398,0.8414709848078965,0.0,1.0
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40,0.0625,0.4161468365471424,0.9092974268256817,0.6931471805599453,1.4142135623730951
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32,0.09375,0.9899924966004454,0.1411200080598672,1.0986122886681098,1.7320508075688772
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10,13,0.125,0.6536436208636119,0.7568024953079282,1.3862943611198906,2.0
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1,0.15625,0.28366218546322625,0.9589242746631385,1.6094379124341003,2.23606797749979
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,0.1875,0.960170286650366,0.27941549819892586,1.791759469228055,2.449489742783178
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2,0.21875,0.7539022543433046,0.6569865987187891,1.9459101490553132,2.6457513110645907
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2,3,0.25,0.14550003380861354,0.9893582466233818,2.0794415416798357,2.8284271247461903
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8,0.28125,0.9111302618846769,0.4121184852417566,2.1972245773362196,3.0
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14,0.3125,0.8390715290764524,0.5440211108893698,2.302585092994046,3.1622776601683795
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,0.34375,0.004425697988050785,0.9999902065507035,2.3978952727983707,3.3166247903554
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,0.375,0.8438539587324921,0.5365729180004349,2.4849066497880004,3.4641016151377544
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,0.40625,0.9074467814501962,0.4201670368266409,2.5649493574615367,3.605551275463989
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,0.4375,0.1367372182078336,0.9906073556948704,2.6390573296152584,3.7416573867739413
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,0.46875,0.7596879128588213,0.6502878401571168,2.70805020110221,3.872983346207417
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,0.5,0.9576594803233847,0.2879033166650653,2.772588722239781,4.0
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,0.53125,0.27516333805159693,0.9613974918795568,2.833213344056216,4.123105625617661
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,0.5625,0.6603167082440802,0.7509872467716762,2.8903717578961645,4.242640687119285
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,0.59375,0.9887046181866692,0.14987720966295234,2.9444389791664403,4.358898943540674
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,0.625,0.40808206181339196,0.9129452507276277,2.995732273553991,4.47213595499958
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,0.65625,0.5477292602242684,0.8366556385360561,3.044522437723423,4.58257569495584
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,0.6875,0.9999608263946371,0.008851309290403876,3.091042453358316,4.69041575982343
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,0.71875,0.5328330203333975,0.8462204041751706,3.1354942159291497,4.795831523312719
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,0.75,0.424179007336997,0.9055783620066238,3.1780538303479458,4.898979485566356
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,0.78125,0.9912028118634736,0.13235175009777303,3.2188758248682006,5.0
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,0.8125,0.6469193223286404,0.7625584504796027,3.258096538021482,5.0990195135927845
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9,0.84375,0.2921388087338362,0.956375928404503,3.295836866004329,5.196152422706632
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,0.875,0.9626058663135666,0.27090578830786904,3.332204510175204,5.291502622129181
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,0.90625,0.7480575296890004,0.6636338842129675,3.367295829986474,5.385164807134504
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,0.9375,0.15425144988758405,0.9880316240928618,3.4011973816621555,5.477225575051661
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,0.96875,0.9147423578045313,0.404037645323065,3.4339872044851463,5.5677643628300215
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,1.0,0.8342233605065102,0.5514266812416906,3.4657359027997265,5.656854249492381
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,1.03125,0.013276747223059479,0.9999118601072672,3.4965075614664802,5.744562646538029
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,1.0625,0.8485702747846052,0.5290826861200238,3.5263605246161616,5.830951894845301
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,1.09375,0.9036922050915067,0.428182669496151,3.5553480614894135,5.916079783099616
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,1.125,0.12796368962740468,0.9917788534431158,3.58351893845611,6.0
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,1.15625,0.7654140519453434,0.6435381333569995,3.6109179126442243,6.082762530298219
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,1.1875,0.9550736440472949,0.2963685787093853,3.6375861597263857,6.164414002968976
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,1.21875,0.26664293235993725,0.9637953862840878,3.6635616461296463,6.244997998398398
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,1.25,0.6669380616522619,0.7451131604793488,3.6888794541139363,6.324555320336759
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,1.28125,0.9873392775238264,0.158622668804709,3.713572066704308,6.4031242374328485
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,1.3125,0.39998531498835127,0.9165215479156338,3.7376696182833684,6.48074069840786
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,1.34375,0.5551133015206257,0.8317747426285983,3.7612001156935624,6.557438524302
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,1.375,0.9998433086476912,0.017701925105413577,3.784189633918261,6.6332495807108
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,1.40625,0.5253219888177297,0.8509035245341184,3.8066624897703196,6.708203932499369
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,1.4375,0.4321779448847783,0.9017883476488092,3.828641396489095,6.782329983125268
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,1.46875,0.9923354691509287,0.123573122745224,3.8501476017100584,6.855654600401044
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,1.5,0.6401443394691997,0.7682546613236668,3.871201010907891,6.928203230275509
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,1.53125,0.3005925437436371,0.9537526527594719,3.8918202981106265,7.0
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,1.5625,0.9649660284921133,0.26237485370392877,3.912023005428146,7.0710678118654755
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,1.59375,0.7421541968137826,0.6702291758433747,3.9318256327243257,7.14142842854285
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,1.625,0.16299078079570548,0.9866275920404853,3.9512437185814275,7.211102550927978
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,1.65625,0.9182827862121189,0.39592515018183416,3.970291913552122,7.280109889280518
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,1.6875,0.8293098328631502,0.5587890488516163,3.9889840465642745,7.3484692283495345
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,1.71875,0.022126756261955736,0.9997551733586199,4.007333185232471,7.416198487095663
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,1.75,0.853220107722584,0.5215510020869119,4.02535169073515,7.483314773547883
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,1.78125,0.8998668269691937,0.43616475524782494,4.04305126783455,7.54983443527075
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,1.8125,0.11918013544881928,0.9928726480845371,4.060443010546419,7.615773105863909
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,1.84375,0.7710802229758452,0.6367380071391379,4.07753744390572,7.681145747868608
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,1.875,0.9524129804151563,0.3048106211022167,4.0943445622221,7.745966692414834
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,1.90625,0.25810163593826746,0.9661177700083929,4.110873864173311,7.810249675906654
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,1.9375,0.6735071623235862,0.7391806966492228,4.127134385045092,7.874007874011811
