fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,Noise
14.38,0.15,1.57,11.74,0.34,30,92,0.96,3.63,0.43,13.86,10,3333,1
4.26,0.15,0.36,47.02,0.29,95,317,1.04,2.62,0.55,11.17,7,4761,1
11.48,1.1,0.08,67.38,0.05,80,417,0.99,2.92,0.44,9.85,10,1368,1
7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6,3197,0
4.04,1.05,0.89,61.98,0.08,116,173,1.08,3.4,0.47,9.58,4,2321,1
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,1046,0
7.23,0.51,1.49,17.88,0.25,174,356,1.04,3.18,0.31,7.61,2,2410,1
13.51,0.2,1.65,33.64,0.09,9,84,0.98,2.83,0.59,13.34,10,4430,1
10.64,0.16,0.19,44.88,0.33,62,211,0.95,3.5,0.43,7.76,7,5134,1
14.16,0.68,1.64,24.36,0.09,120,256,1.08,3.49,0.75,12.84,7,3933,1
12.66,0.85,0.21,53.06,0.15,255,13,0.96,3.93,0.44,8.97,3,1966,1
5.38,1.06,0.96,24.24,0.2,203,357,1.04,3.69,0.62,11.98,4,1088,1
8.1,0.71,0.96,39.37,0.09,189,141,0.96,3.58,0.74,11.37,4,3777,1
6.3,0.25,0.44,1.7,0.024,36,116,0.98935,3.18,0.4,12.5,6,1171,0
10.4,0.94,1.72,40.34,0.12,16,420,1.04,3.69,0.44,13.73,10,1428,1
7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4,3617,0
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6,3791,0
6.2,0.2,0.28,1.1,0.039,24,78,0.9899,3.36,0.47,12.1,6,4617,0
6.5,0.115,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9,7,2352,0
13.1,0.98,0.8,60.13,0.35,49,118,1.08,3.49,0.25,10.88,8,2851,1
14.27,0.62,0.84,4.53,0.22,87,285,0.95,3.73,1.05,9.99,5,3770,1
7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5,1120,0
9.17,0.1,1.26,54.75,0.06,24,13,1.03,3.12,0.45,13.57,2,1339,1
8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,6,1021,0
8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5,4589,0
13.42,0.62,0.73,34.51,0.05,213,134,0.97,3.03,0.4,13.51,8,4786,1
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,1031,0
13.55,0.99,0.73,49.68,0.08,136,248,0.98,3.23,0.37,10.62,2,960,1
6.1,0.28,0.26,1.5,0.03,25,101,0.98894,3.03,0.41,12.1,6,1648,0
11.42,1.05,0.38,16.19,0.3,302,279,1.0,2.74,1.09,8.84,6,2909,1
13.0,0.82,1.67,7.54,0.35,14,327,0.95,2.9,0.53,11.05,5,3017,1
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,3140,0
5.6,0.19,0.31,2.7,0.027,11,100,0.98964,3.46,0.4,13.2,7,4777,0
8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5,3640,0
7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,5,4859,0
8.16,0.28,0.4,58.08,0.17,25,287,1.04,3.82,0.43,9.18,4,2405,1
5.82,0.81,1.21,39.61,0.13,128,279,0.98,3.78,0.88,8.66,6,2729,1
7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6,3425,0
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6,1011,0
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,3466,0
8.54,0.88,1.27,40.31,0.16,48,264,0.97,3.2,1.13,8.06,10,3747,1
6.9,0.33,0.31,4.2,0.04,21,93,0.9896,3.18,0.48,13.4,7,2603,0
12.35,0.16,1.74,43.9,0.32,238,411,0.98,2.97,0.69,9.89,2,2807,1
9.4,0.16,0.3,1.4,0.042,26,176,0.9954,3.15,0.46,9.1,5,2651,0
6.6,0.325,0.49,7.7,0.049,53,217,0.996,3.16,0.4,9.3,5,3249,0
5.19,0.71,0.57,12.77,0.03,265,75,1.05,3.09,0.82,8.56,5,1185,1
11.32,1.09,0.77,22.94,0.11,289,237,1.06,2.64,0.53,12.55,2,3048,1
13.73,0.74,0.64,22.64,0.13,144,318,1.08,2.89,0.29,13.42,3,4539,1
6.2,0.29,0.32,3.6,0.026,39,138,0.9892,3.31,0.37,13.1,7,1704,0
6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7,2322,0
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7,2861,0
11.18,0.5,1.39,3.79,0.21,66,238,0.94,3.72,0.42,9.89,6,1641,1
6,0.27,0.27,1.6,0.046,32,113,0.9924,3.41,0.51,10.5,7,3662,0
7.98,0.6,1.74,41.61,0.18,103,204,0.96,3.51,0.75,7.91,10,1258,1
6.06,1.12,0.37,14.47,0.07,59,203,0.96,3.79,0.86,8.49,9,1721,1
7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6,3734,0
7,0.29,0.35,1.4,0.036,42,109,0.99119,3.31,0.62,11.6,6,2461,0
6.66,0.53,0.41,42.77,0.01,53,140,1.08,3.86,0.74,9.33,5,1958,1
3.93,0.58,1.21,67.95,0.3,15,87,1.08,3.33,0.68,14.6,3,4988,1
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,2608,0
3.97,0.89,0.59,12.11,0.07,175,431,1.0,3.53,0.61,12.51,3,3773,1
5.91,0.72,1.02,33.02,0.16,303,107,1.0,3.41,1.09,9.88,8,1986,1
7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5,1751,0
10.06,0.23,0.24,20.79,0.08,130,447,1.03,2.78,0.35,11.13,4,2364,1
6.2,0.28,0.41,5,0.043,50,188,0.99318,3.23,0.64,10.8,6,4198,0
6.81,0.72,1.51,5.63,0.12,156,345,1.01,3.34,0.72,11.99,10,1107,1
7.5,0.3,0.21,6.55,0.026,33,143,0.99244,2.92,0.35,11.1,5,3672,0
3.68,0.75,0.03,20.39,0.21,4,66,1.07,3.59,0.29,12.49,5,1714,1
6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6,3277,0
8.85,1.05,1.42,8.69,0.24,42,274,0.97,3.01,0.78,10.54,7,1960,1
6.7,0.26,0.29,7.1,0.036,28,100,0.99534,3.08,0.36,9.3,6,1472,0
6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,5,3858,0
10.58,0.54,0.7,62.17,0.23,6,377,0.96,2.9,0.92,14.34,2,1773,1
6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,5,2972,0
7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6,2998,0
9.05,0.68,0.24,43.66,0.3,4,34,0.94,2.95,0.41,7.91,8,4047,1
11.71,0.93,0.73,10.32,0.28,147,222,1.05,2.72,0.23,14.61,10,3679,1
12.34,0.45,1.53,33.7,0.26,111,430,0.98,3.09,0.99,11.55,8,1615,1
6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,6,4255,0
14.86,0.6,0.77,54.23,0.12,30,307,0.98,3.06,0.38,12.07,3,2901,1
12.36,0.51,1.22,33.36,0.22,182,176,1.06,2.96,0.98,8.34,4,4570,1
6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5,3453,0
14.86,0.15,0.0,39.66,0.36,151,124,0.94,2.66,0.26,12.19,6,3381,1
7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,6,4547,0
7,0.17,0.36,6.4,0.055,42,123,0.99318,3.11,0.5,11,8,3932,0
12.86,0.76,0.73,36.52,0.33,210,390,1.03,2.98,0.62,8.1,8,1367,1
13.74,0.94,1.36,45.31,0.28,133,56,1.03,3.3,0.59,8.71,2,1041,1
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5,4593,0
8.2,0.25,0.46,3.75,0.05,14,102,0.99524,3.28,0.58,9.7,5,2129,0
6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7,4897,0
6.3,0.18,0.22,5.6,0.047,45,147,0.99383,3.09,0.54,10,5,4816,0
9.63,0.42,0.55,68.94,0.2,62,109,0.97,3.48,0.49,13.98,10,2919,1
8.34,0.23,1.54,28.04,0.09,205,338,1.05,3.16,0.23,13.07,4,2213,1
6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,7,1902,0
5.11,0.15,1.29,63.41,0.08,59,359,1.06,2.83,0.79,12.67,8,2059,1
7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5,2204,0
12.73,0.9,0.8,28.59,0.14,44,113,1.07,3.9,0.25,8.35,7,4192,1
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,2012,0
8.26,0.23,1.72,17.8,0.02,115,60,1.08,3.46,0.41,9.18,8,2824,1
6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5,3130,0
11.6,0.59,0.46,8.56,0.24,225,134,1.09,3.72,1.05,10.95,4,4740,1
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,1782,0
7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,7,1697,0
5.72,1.12,0.38,3.13,0.27,77,74,1.01,2.62,0.62,9.84,6,3766,1
6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,4,1061,0
6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,6,3198,0
12.8,0.72,1.03,44.03,0.09,303,119,1.02,2.93,0.38,13.46,7,2965,1
7.51,0.96,0.85,65.42,0.26,201,198,0.99,3.13,0.44,10.52,9,1250,1
6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,6,3316,0
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,3520,0
6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,6,2921,0
6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,6,4093,0
6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6,4051,0
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8,2163,0
8.42,0.26,1.17,4.57,0.12,298,345,1.0,3.64,0.73,9.85,3,3246,1
5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,7,1086,0
5.8,0.12,0.21,1.3,0.056,35,121,0.9908,3.32,0.33,11.4,6,1645,0
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,4680,0
6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6,1636,0
5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,6,3114,0
6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,5,1530,0
6.7,0.33,0.34,6.6,0.067,35,156,0.99542,3.11,0.48,9.3,6,2546,0
6.2,0.32,0.32,2.2,0.036,15,70,0.9899,3.16,0.48,12.7,6,3456,0
12.33,0.49,1.36,9.68,0.07,130,356,1.02,2.65,0.98,8.78,4,4653,1
7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10,6,2377,0
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6,1072,0
