fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,feature1,feature2,feature3
6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6,981,55,828,234
6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7,982,21,601,177
6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5,983,78,520,9
6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,7,984,3,857,199
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5,985,92,615,85
8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6,986,100,650,144
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6,987,82,609,111
6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6,988,22,626,121
6.7,0.31,0.08,1.3,0.038,58,147,0.9922,3.18,0.46,10,5,989,79,684,25
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8,990,24,854,155
5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5,991,77,837,78
6.7,0.24,0.46,2.2,0.033,19,111,0.99045,3.1,0.62,11.9,6,992,24,629,133
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,993,94,829,120
8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,6,994,39,597,62
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5,995,44,513,122
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,996,9,590,120
8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,6,997,18,525,110
7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6,998,50,951,1
