fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,feature1,feature2,feature3,feature4
6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6,981,89,656,189,626
6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7,982,41,828,187,626
6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5,983,44,971,64,628
6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,7,984,72,702,250,546
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5,985,10,965,3,584
8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6,986,68,619,124,597
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6,987,25,904,249,670
6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6,988,98,843,188,610
6.7,0.31,0.08,1.3,0.038,58,147,0.9922,3.18,0.46,10,5,989,46,819,220,517
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8,990,94,816,107,549
5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5,991,44,771,153,731
6.7,0.24,0.46,2.2,0.033,19,111,0.99045,3.1,0.62,11.9,6,992,47,729,155,534
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,993,56,588,120,721
8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,6,994,41,959,222,533
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5,995,68,560,118,698
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,996,81,610,1,663
8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,6,997,31,546,133,738
7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6,998,67,558,138,593
7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6,999,20,850,227,713
7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,5,1000,61,793,147,612
6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6,1001,7,728,69,734
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,1002,44,525,45,626
6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,6,1003,3,631,232,717
7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5,1004,44,834,71,689
6,0.31,0.32,7.4,0.175,47,159,0.9952,3.19,0.5,9.4,6,1005,88,770,43,543
6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6,1006,96,899,127,718
6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6,1007,63,751,137,514
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,1008,46,657,16,681
5.8,0.23,0.21,1.5,0.044,21,110,0.99138,3.3,0.57,11,6,1009,76,763,206,583
7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,8,1010,65,659,50,569
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6,1011,46,537,6,543
7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6,1012,43,805,139,592
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,1013,90,875,118,708
7.5,0.18,0.45,4.6,0.041,67,158,0.9927,3.01,0.38,10.6,6,1014,44,748,84,666
7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,7,1015,83,917,158,687
6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4,7,1016,54,746,48,643
7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5,1017,72,561,74,541
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5,1018,17,935,61,507
6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5,1019,53,857,43,736
5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7,1020,89,577,78,747
8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,6,1021,79,629,81,654
7.6,0.23,0.4,5.2,0.066,14,91,0.99488,3.17,0.8,9.7,5,1022,52,575,125,632
7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5,1023,56,905,10,619
5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,5,1024,92,769,139,680
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,1025,41,714,33,603
8.1,0.3,0.31,1.1,0.041,49,123,0.9914,2.99,0.45,11.1,6,1026,87,754,195,557
6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,7,1027,51,666,158,511
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8,1028,39,773,247,632
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,1029,78,929,232,523
7.5,0.19,0.4,7.1,0.056,50,110,0.9954,3.06,0.52,9.9,6,1030,75,575,89,548
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,1031,86,967,79,691
5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,6,1032,92,630,159,579
6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6,1033,56,613,81,730
8,0.24,0.33,1.2,0.044,28,101,0.99035,3.03,0.43,12.5,6,1034,38,727,141,661
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6,1035,91,634,1,654
5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5,1036,96,965,118,535
7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,5,1037,28,861,138,528
6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6,1038,70,864,224,703
4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,7,1039,36,625,242,746
7.4,0.18,0.3,10.4,0.045,44,174,0.9966,3.11,0.57,9.7,6,1040,49,797,183,640
7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5,1041,81,589,231,693
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6,1042,50,685,62,724
8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6,1043,41,672,147,635
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6,1044,66,538,109,600
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7,1045,18,921,161,541
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,1046,13,519,66,568
5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.73333333333333,5,1047,56,882,66,680
7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5,1048,10,939,66,738
7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,7,1049,3,818,107,637
6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6,1050,27,534,139,544
6.9,0.24,0.33,4.8,0.04,16,131,0.9936,3.26,0.64,10.7,6,1051,94,576,98,669
5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,6,1052,13,791,165,527
6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,5,1053,96,502,111,619
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5,1054,64,773,238,540
7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6,1055,9,970,191,560
6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6,1056,39,829,132,750
6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4,1057,45,523,3,720
7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,6,1058,6,574,123,622
8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,7,1059,89,581,169,746
7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5,1060,31,520,150,519
6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,4,1061,2,811,68,678
8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5,1062,75,925,67,701
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6,1063,93,521,96,749
6.4,0.38,0.2,5.3,0.117,57,181,0.99459,3.24,0.43,9.5,6,1064,39,527,86,592
5.9,0.32,0.33,2.1,0.027,35,138,0.98945,3.37,0.42,12.7,6,1065,42,998,66,608
6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7,1066,49,732,211,651
7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,6,1067,4,824,51,560
6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,6,1068,11,843,170,748
7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5,1069,19,555,224,612
6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,5,1070,77,775,235,630
8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8,1071,13,670,213,706
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6,1072,65,603,74,706
6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6,1073,47,572,11,730
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6,1074,50,922,102,610
7,0.24,0.24,9,0.03,42,219,0.99636,3.47,0.46,10.2,6,1075,6,517,172,691
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7,1076,15,890,123,523
7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,5,1077,44,945,72,563
6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6,1078,93,816,78,731
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6,1079,35,580,6,581
6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,6,1080,38,842,66,721
6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,6,1081,8,711,30,634
6.8,0.33,0.44,7,0.05,29,155,0.9955,3.14,0.42,9.5,5,1082,18,709,131,637
6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6,1083,49,956,182,607
6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,6,1084,15,568,125,517
9.6,0.655,0.21,2,0.039,21,120,0.99188,3,1,12.6,6,1085,42,941,227,535
5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,7,1086,43,941,214,670
7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,6,1087,78,796,118,673
6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6,1088,77,950,230,543
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5,1089,31,937,24,675
6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,7,1090,8,981,39,735
5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7,1091,72,833,152,744
6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4,1092,91,878,204,624
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,1093,99,969,100,538
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6,1094,99,511,230,578
9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,5,1095,99,645,63,543
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5,1096,27,704,219,628
5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6,1097,19,990,217,528
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6,1098,58,630,214,562
5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6,1099,46,556,203,507
6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,6,1100,36,526,21,525
