fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,id,feature_y_4,feature_y_4,feature_y_4,feature_y_4
6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6,981,77,216.0,0.5769502112196678,0.7179850839697136
6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7,982,19,343.0,0.5080418218220499,0.8438377837054513
6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5,983,72,125.0,0.7615317425420538,0.7877145121442345
6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,7,984,33,343.0,2.7023976223798187,0.8438377837054513
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5,985,50,125.0,163.3631160355937,0.7877145121442345
8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6,986,5,216.0,1.7986635115222207,0.7179850839697136
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6,987,44,216.0,0.6604775396296338,0.7179850839697136
6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6,988,49,216.0,0.5001192895380678,0.7179850839697136
6.7,0.31,0.08,1.3,0.038,58,147,0.9922,3.18,0.46,10,5,989,1,125.0,0.6385561121307287,0.7877145121442345
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8,990,28,512.0,1.6336265442474072,0.996833390848202
5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5,991,14,125.0,67.39355269962438,0.7877145121442345
6.7,0.24,0.46,2.2,0.033,19,111,0.99045,3.1,0.62,11.9,6,992,5,216.0,3.0931538350036596,0.7179850839697136
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,993,21,216.0,0.797504873200752,0.7179850839697136
8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,6,994,86,216.0,0.5125359646185864,0.7179850839697136
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5,995,11,125.0,0.5637507992327736,0.7877145121442345
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,996,87,216.0,1.1297834803509224,0.7179850839697136
8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,6,997,18,216.0,9.800796891817612,0.7179850839697136
7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6,998,33,216.0,6.91912965396065,0.7179850839697136
7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6,999,24,216.0,1.0271799548004432,0.7179850839697136
7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,5,1000,5,125.0,0.5473814653968875,0.7877145121442345
6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6,1001,68,216.0,0.5208358839137703,0.7179850839697136
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,1002,95,125.0,0.8567023589222795,0.7877145121442345
6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,6,1003,23,216.0,3.8349675546631423,0.7179850839697136
7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5,1004,20,125.0,29.49367483209027,0.7877145121442345
6,0.31,0.32,7.4,0.175,47,159,0.9952,3.19,0.5,9.4,6,1005,92,216.0,1.4382787628158127,0.7179850839697136
6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6,1006,4,216.0,0.61094530420511,0.7179850839697136
6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6,1007,3,216.0,0.5017909253824335,0.7179850839697136
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,1008,1,216.0,0.6963383999033109,0.7179850839697136
5.8,0.23,0.21,1.5,0.044,21,110,0.99138,3.3,0.57,11,6,1009,91,216.0,2.0904240484805254,0.7179850839697136
